data_1,data_2,data_3,data_4,data_5
-0.24814453125,-0.6251953125,0,0.01611328125,1
0.012890625,-0.6509765625,0.012890625,0.064453125,1
0.43505859375,-0.46083984375,0,0.038671875,1
0.65419921875,-0.193359375,-0.0064453125,0.0580078125,1
0.53173828125,0.00966796875,-0.01611328125,0.02578125,1
0.21591796875,0.103125,-0.0193359375,0.00966796875,1
-0.038671875,0.08056640625,-0.00966796875,-0.012890625,1
-0.23525390625,-0.0064453125,0,0.03544921875,1
-0.373828125,-0.1224609375,0,0.05478515625,1
-0.50595703125,-0.1546875,0.01611328125,0.06767578125,1
-0.62841796875,-0.1353515625,0.0322265625,0.06767578125,1
-0.71865234375,-0.0451171875,0.02255859375,0.0322265625,1
-0.7154296875,0.038671875,0.02255859375,-0.07412109375,1
-0.683203125,0.0966796875,0.01611328125,-0.09990234375,1
-0.61875,0.17080078125,0.02255859375,-0.08056640625,1
-0.554296875,0.20625,0.0193359375,-0.07412109375,1
-0.49306640625,0.1998046875,0.02900390625,0.0193359375,1
-0.43505859375,0.15791015625,0.04833984375,0.04189453125,1
-0.4318359375,0.13212890625,0.090234375,0.04189453125,1
-0.49306640625,0.116015625,0.02900390625,0,1
-0.61552734375,0.1546875,0.06123046875,0.0708984375,1
-0.93134765625,0.18046875,0.04833984375,0.0837890625,1
-0.9216796875,0.16435546875,0.00322265625,0.13857421875,1
-0.26103515625,0.1482421875,0.0064453125,0.116015625,1
0.31259765625,0.17724609375,0.00966796875,0.13857421875,1
0.631640625,0.1482421875,-0.00322265625,0.0966796875,1
0.8185546875,0.116015625,-0.01611328125,0.11923828125,1
0.90556640625,0.10634765625,0.0064453125,0.0837890625,1
0.889453125,0.0580078125,0.06123046875,0.1095703125,1
0.889453125,0.0515625,0.064453125,0.06123046875,1
0.83466796875,0.00322265625,0.0515625,0.07734375,1
0.75087890625,-0.0064453125,0.02255859375,0.06767578125,1
0.66708984375,0.00966796875,0.01611328125,0.0708984375,1
0.61552734375,0.02900390625,0.01611328125,0.01611328125,1
0.554296875,-0.00322265625,0.02255859375,0.0580078125,1
0.53818359375,-0.00322265625,0.04189453125,0.13857421875,1
